1: ProtocolRequired - \handshake\ProtocolRequired.as
5703: HouseGuildRightsMessage - \game\context\roleplay\houses\guild\HouseGuildRightsMessage.as
5704: HouseGuildShareRequestMessage - \game\context\roleplay\houses\guild\HouseGuildShareRequestMessage.as
5706: GuildCharacsUpgradeRequestMessage - \game\guild\GuildCharacsUpgradeRequestMessage.as
5708: InteractiveElementUpdatedMessage - \game\interactive\InteractiveElementUpdatedMessage.as
5709: StatedElementUpdatedMessage - \game\interactive\StatedElementUpdatedMessage.as
5715: GuildFightLeaveRequestMessage - \game\guild\tax\GuildFightLeaveRequestMessage.as
5716: StatedMapUpdateMessage - \game\interactive\StatedMapUpdateMessage.as
5717: GuildFightJoinRequestMessage - \game\guild\tax\GuildFightJoinRequestMessage.as
5719: GuildFightPlayersHelpersLeaveMessage - \game\guild\tax\GuildFightPlayersHelpersLeaveMessage.as
5720: GuildFightPlayersHelpersJoinMessage - \game\guild\tax\GuildFightPlayersHelpersJoinMessage.as
5723: LivingObjectDissociateMessage - \game\inventory\items\LivingObjectDissociateMessage.as
5725: LivingObjectChangeSkinRequestMessage - \game\inventory\items\LivingObjectChangeSkinRequestMessage.as
5726: OnConnectionEventMessage - \game\initialization\OnConnectionEventMessage.as
5731: GameRolePlayPlayerFightRequestMessage - \game\context\roleplay\fight\GameRolePlayPlayerFightRequestMessage.as
5732: GameRolePlayPlayerFightFriendlyAnswerMessage - \game\context\roleplay\fight\GameRolePlayPlayerFightFriendlyAnswerMessage.as
5733: GameRolePlayPlayerFightFriendlyAnsweredMessage - \game\context\roleplay\fight\GameRolePlayPlayerFightFriendlyAnsweredMessage.as
5734: HousePropertiesMessage - \game\context\roleplay\houses\HousePropertiesMessage.as
5735: HouseBuyResultMessage - \game\context\roleplay\houses\HouseBuyResultMessage.as
5738: HouseBuyRequestMessage - \game\context\roleplay\houses\HouseBuyRequestMessage.as
5739: PurchasableDialogMessage - \game\context\roleplay\purchasable\PurchasableDialogMessage.as
5740: LockableShowCodeDialogMessage - \game\context\roleplay\lockable\LockableShowCodeDialogMessage.as
5741: GameActionFightTriggerGlyphTrapMessage - \game\actions\fight\GameActionFightTriggerGlyphTrapMessage.as
5742: MapRunningFightListRequestMessage - \game\context\roleplay\MapRunningFightListRequestMessage.as
5743: MapRunningFightListMessage - \game\context\roleplay\MapRunningFightListMessage.as
5745: InteractiveUsedMessage - \game\interactive\InteractiveUsedMessage.as
5747: JobMultiCraftAvailableSkillsMessage - \game\context\roleplay\job\JobMultiCraftAvailableSkillsMessage.as
5748: JobAllowMultiCraftRequestMessage - \game\context\roleplay\job\JobAllowMultiCraftRequestMessage.as
5750: MapRunningFightDetailsRequestMessage - \game\context\roleplay\MapRunningFightDetailsRequestMessage.as
5751: MapRunningFightDetailsMessage - \game\context\roleplay\MapRunningFightDetailsMessage.as
5752: ExchangeTypesItemsExchangerDescriptionForUserMessage - \game\inventory\exchanges\ExchangeTypesItemsExchangerDescriptionForUserMessage.as
5753: ExchangeRequestOnShopStockMessage - \game\inventory\exchanges\ExchangeRequestOnShopStockMessage.as
5755: ExchangeBidPriceMessage - \game\inventory\exchanges\ExchangeBidPriceMessage.as
